#{"t_start": 1778020685.626938, "env_id": "letter-env"}
r,l,t
-50.0,16,1041.363307
-50.0,15,1042.57111
-50.0,13,1043.574521
-50.0,37,1046.18464
-50.0,9,1046.993102
-40.0,59,1051.334161
-50.0,19,1052.711282
-50.0,12,1053.567287
-50.0,39,1056.602704
-50.0,59,1060.87571
-40.0,26,1062.706108
-40.0,70,1067.89578
-50.0,31,1070.02689
-50.0,24,1071.719668
-50.0,18,1073.118121
-50.0,9,1073.80395
-40.0,13,1074.818883
-50.0,9,1075.668571
-50.0,40,1078.454432
-50.0,38,1081.096151
-50.0,15,1082.300901
-50.0,24,1084.09267
-50.0,25,1086.05713
-50.0,45,1089.74312
-40.0,40,1092.918423
-50.0,20,1094.380252
-50.0,13,1095.501102
-40.0,45,1098.740721
-50.0,19,1100.321241
-40.0,26,1102.019031
-40.0,25,1103.752877
-50.0,5,1104.429395
-50.0,26,1106.21005
-50.0,7,1106.789216
-50.0,7,1107.353113
-50.0,36,1109.845148
-50.0,64,1114.466785
-50.0,35,1116.826891
-50.0,30,1119.279339
-50.0,28,1121.318618
-50.0,25,1122.987514
-50.0,52,1126.831183
-40.0,27,1134.956942
-50.0,26,1136.696319
-50.0,38,1139.626549
-50.0,9,1140.241293
-40.0,26,1142.303197
-50.0,23,1143.873264
-50.0,16,1144.982917
-50.0,43,1148.019581
-40.0,59,1152.449982
-50.0,13,1153.309021
-40.0,79,1159.122603
-50.0,9,1159.692054
-50.0,20,1161.197336
-40.0,43,1164.343495
-50.0,26,1166.14071
-50.0,5,1166.733036
-50.0,8,1167.248437
-50.0,3,1167.27226
-50.0,28,1169.265455
-50.0,5,1169.801524
-40.0,28,1171.966764
-50.0,12,1172.858821
-50.0,19,1173.97982
-50.0,13,1175.138623
-40.0,90,1181.622502
-50.0,5,1181.902585
-50.0,23,1183.503238
-20.0,29,1185.633214
-50.0,9,1186.443937
-50.0,11,1186.989504
-50.0,15,1188.081656
-50.0,9,1188.649845
-50.0,10,1189.540252
-50.0,75,1194.980742
-50.0,13,1195.853005
-50.0,27,1197.880578
-50.0,57,1201.91744
-50.0,13,1202.779253
-50.0,28,1204.755504
-40.0,50,1208.636713
-50.0,18,1209.704723
-50.0,3,1209.976348
-50.0,52,1213.620446
-50.0,14,1214.637455
-50.0,54,1218.53856
-50.0,7,1219.119707
-50.0,39,1221.815479
-20.0,23,1223.578902
-50.0,5,1223.85322
-50.0,33,1226.400834
-50.0,19,1227.729106
-50.0,21,1229.398624
-50.0,9,1230.002315
-50.0,41,1232.872217
-50.0,10,1233.789512
-40.0,38,1236.385619
-50.0,39,1239.292126
-50.0,3,1239.642771
-50.0,24,1241.450369
-50.0,30,1243.48308
-50.0,20,1244.895962
-50.0,34,1247.561202
-50.0,23,1249.049675
-50.0,68,1254.079111
-50.0,5,1254.599974
-50.0,18,1255.769835
-50.0,48,1259.102007
-40.0,23,1260.939765
-50.0,17,1262.257351
-50.0,11,1263.094485
-50.0,47,1266.497169
-40.0,77,1271.909789
-40.0,34,1274.214146
-40.0,27,1276.364258
-50.0,11,1277.207593
-50.0,12,1278.049468
-50.0,18,1279.213033
-50.0,27,1281.187737
-50.0,57,1285.3613
-50.0,23,1287.137933
-50.0,27,1289.331361
-50.0,16,1290.489341
-50.0,27,1292.501778
-50.0,17,1293.755127
-50.0,39,1296.881038
-50.0,63,1301.495288
-50.0,9,1302.397649
-50.0,20,1303.801016
-40.0,41,1306.865331
-50.0,19,1308.351996
-50.0,21,1309.7608
-50.0,11,1310.634016
-40.0,51,1314.08474
-50.0,23,1315.887358
-20.0,59,1320.510963
-50.0,3,1320.806956
-50.0,13,1321.695732
-40.0,18,1322.914814
-50.0,26,1324.846632
-50.0,31,1327.131024
-50.0,23,1328.545603
-50.0,24,1330.342712
-50.0,15,1331.545669
-50.0,61,1335.77453
-40.0,65,1340.737895
-50.0,7,1341.04123
-20.0,91,1347.827862
-50.0,9,1348.401382
-40.0,32,1350.899193
-50.0,101,1358.787211
-50.0,20,1360.247045
-20.0,43,1363.335703
-50.0,15,1364.515033
-50.0,9,1365.110485
-50.0,3,1365.40962
-50.0,3,1365.753096
-50.0,54,1369.422693
-50.0,35,1372.036347
-50.0,37,1374.68968
-50.0,32,1377.135242
-50.0,17,1378.550496
-50.0,7,1378.856958
-40.0,64,1383.657462
-50.0,42,1386.819533
-50.0,29,1388.932959
-50.0,7,1389.569051
-50.0,17,1390.72562
-50.0,55,1394.684856
-50.0,14,1395.498658
-50.0,7,1396.1282
-50.0,21,1397.647891
-50.0,16,1398.805896
-50.0,34,1401.510449
-50.0,48,1405.081672
-50.0,11,1405.932253
-50.0,53,1409.829915
-50.0,61,1414.147039
-50.0,7,1414.852949
-40.0,49,1418.382053
-50.0,53,1422.406395
-50.0,19,1423.962365
-50.0,5,1424.32546
-50.0,38,1427.572025
-50.0,9,1428.222781
-50.0,48,1431.719395
-50.0,62,1436.369194
-50.0,10,1437.052916
-40.0,41,1440.071786
-50.0,5,1440.638566
-50.0,76,1446.095069
-50.0,5,1446.42463
-50.0,24,1448.180646
-50.0,81,1454.16306
-50.0,36,1456.646003
-20.0,64,1461.335086
-40.0,24,1463.156684
-50.0,12,1464.098063
-50.0,16,1465.372316
-50.0,12,1466.317568
-40.0,56,1470.62836
-50.0,9,1471.247027
-50.0,30,1473.529834
-40.0,54,1477.410237
-50.0,5,1477.97225
-40.0,49,1481.500465
-50.0,8,1482.158616
-50.0,10,1482.73648
-50.0,9,1483.5636
-50.0,25,1485.288944
-50.0,15,1486.45191
-20.0,95,1493.036527
-50.0,5,1493.586687
-50.0,17,1494.809147
-40.0,45,1497.956894
-50.0,9,1498.54253
-50.0,3,1498.852892
-40.0,12,1499.802949
-40.0,48,1503.496476
-50.0,20,1504.882175
-50.0,26,1506.901449
-50.0,14,1507.818013
-50.0,27,1510.03181
-50.0,20,1511.419462
-50.0,42,1514.542654
-50.0,53,1518.525667
-50.0,35,1521.028401
-50.0,47,1524.450945
-40.0,27,1526.582592
-50.0,19,1527.962616
-50.0,29,1529.963749
-50.0,8,1530.534704
-50.0,25,1532.275236
-50.0,6,1532.892386
-50.0,9,1533.59657
-50.0,9,1534.184624
-50.0,21,1535.628146
-50.0,43,1538.797407
-40.0,18,1540.373882
-50.0,12,1541.22005
-50.0,5,1541.504231
-50.0,55,1545.537429
-50.0,26,1547.381321
-50.0,72,1552.758778
-20.0,121,1561.555592
-50.0,33,1564.098594
-50.0,22,1565.593017
-50.0,11,1566.480118
-50.0,13,1567.376129
-40.0,46,1570.839518
-40.0,14,1571.747325
-50.0,30,1574.24249
-50.0,81,1580.030836
-50.0,43,1583.120145
-50.0,18,1584.299171
-50.0,5,1584.576119
-40.0,18,1586.07749
-40.0,38,1588.693407
-50.0,12,1589.531937
-50.0,33,1592.108585
-50.0,3,1592.123569
-50.0,9,1592.941948
-50.0,24,1594.914395
-50.0,18,1596.051242
-50.0,49,1599.558543
-50.0,13,1600.814163
-50.0,11,1601.403192
-50.0,11,1602.266037
-40.0,45,1605.530422
-40.0,54,1609.775244
-50.0,17,1610.974084
-50.0,47,1614.607706
-50.0,7,1615.140219
-40.0,40,1618.263272
-50.0,23,1619.740427
-50.0,39,1622.565429
-50.0,14,1623.677118
-50.0,37,1626.418228
-50.0,5,1626.701161
-50.0,50,1630.391629
-50.0,18,1631.659629
-50.0,23,1633.456585
-50.0,9,1634.096165
-50.0,5,1634.373797
-50.0,32,1636.68513
-50.0,36,1639.355819
-50.0,18,1640.691823
-50.0,11,1641.552535
-50.0,63,1646.14763
-50.0,3,1646.406854
-40.0,45,1649.733539
-50.0,19,1651.25318
-50.0,24,1652.98775
-40.0,10,1653.87775
-50.0,32,1656.161083
-50.0,26,1658.046273
