#{"t_start": 1777998632.716299, "env_id": "letter-env"}
r,l,t
-60.0,34,877.448862
-50.0,5,877.846859
20.0,200,895.71611
-30.0,161,910.941104
130.0,182,962.429003
110.0,133,973.948925
-30.0,69,979.972269
10.0,200,997.984297
-30.0,93,1006.598687
20.0,200,1025.810111
-30.0,142,1038.858805
-30.0,178,1054.631263
-10.0,139,1067.679931
-10.0,195,1085.993646
-10.0,182,1102.90846
-10.0,196,1121.451005
10.0,200,1140.541524
-60.0,100,1149.850384
-10.0,140,1163.063249
10.0,200,1182.292383
-10.0,200,1201.606981
-10.0,200,1220.734487
-10.0,200,1239.984209
-10.0,200,1259.141069
-70.0,55,1264.543834
40.0,200,1283.664705
-10.0,200,1302.824419
-10.0,200,1322.106366
-10.0,200,1341.344265
20.0,200,1360.317937
-30.0,76,1367.464936
-10.0,22,1369.652669
-10.0,196,1387.94354
10.0,200,1407.41618
-30.0,71,1414.106737
-10.0,153,1465.169343
10.0,200,1484.196989
-30.0,145,1498.075915
40.0,200,1517.108699
-70.0,3,1517.432191
-50.0,3,1517.483419
-50.0,79,1524.948719
40.0,200,1543.885329
-30.0,164,1559.307595
-10.0,110,1569.876325
-10.0,100,1579.424315
40.0,200,1598.272113
20.0,200,1617.196261
20.0,200,1636.12378
-70.0,10,1636.932536
-10.0,87,1645.229281
-10.0,54,1650.255668
-50.0,17,1652.016855
0.0,200,1671.023409
-50.0,199,1690.032068
40.0,200,1708.617967
20.0,200,1727.127399
-30.0,107,1737.10904
-10.0,185,1754.406119
-10.0,141,1767.727004
40.0,200,1786.329343
-70.0,41,1790.078646
-10.0,152,1804.266189
-10.0,19,1806.035701
-50.0,199,1824.679848
-50.0,93,1833.583986
-10.0,71,1840.224361
-50.0,12,1841.347397
-50.0,6,1841.942068
-10.0,116,1853.114626
40.0,200,1872.165554
20.0,200,1891.740973
-70.0,101,1901.368889
0.0,200,1920.644615
-50.0,41,1924.50876
-30.0,101,1970.5934
40.0,200,1989.467551
-70.0,104,1999.238288
-10.0,77,2006.557515
40.0,200,2025.55752
20.0,200,2044.42315
-30.0,124,2055.840494
40.0,200,2074.964127
20.0,200,2094.016964
-30.0,86,2101.884116
20.0,200,2120.893403
0.0,200,2139.766349
0.0,200,2158.516209
110.0,151,2172.486494
-10.0,200,2191.415137
-30.0,171,2207.613361
-10.0,171,2224.157171
40.0,200,2243.261426
-70.0,5,2243.676641
10.0,200,2262.760139
20.0,200,2281.917574
110.0,125,2293.783398
20.0,200,2312.584146
20.0,200,2331.446306
20.0,200,2350.633443
20.0,200,2369.243558
-30.0,64,2375.269844
20.0,200,2394.235351
-50.0,65,2400.131917
40.0,200,2419.013844
20.0,200,2437.882807
